cluster0,1_1_F,1_1_S,1_1_R,1_2_F,1_2_S,1_2_R,1_3_F,1_3_S,1_3_R,1_4_F,1_4_S,1_4_R,1_5_F,1_5_S,1_5_R
0,1.0,0.75,0.0,1.0,1.0,0.0,0.75,0.5,0.0,1.0,1.0,1.0,1.0,0.75,0.75
1,0.625,0.0,0.0,1.0,1.0,0.0,1.0,0.875,0.0,1.0,1.0,0.0,1.0,1.0,0.0
2,0.5,0.5,0.0,0.5,0.5,0.0,1.0,1.0,0.0,0.5,0.5,0.0,1.0,0.5,0.5
3,0.75,1.0,0.75,1.0,0.75,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
4,0.6666666666666666,0.6666666666666666,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
6,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.5,0.0,0.0,1.0,0.0,1.0,1.0,0.0
7,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.5,0.0,1.0,0.0,0.0,1.0,1.0,0.0
8,0.75,0.75,0.0,0.75,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.75,0.75,0.0
9,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
11,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
