cluster1,2_1_F,2_1_S,2_1_R,2_2_F,2_2_S,2_2_R,2_3_F,2_3_S,2_3_R,2_4_F,2_4_S,2_4_R,2_5_F,2_5_S,2_5_R
0,33.33333333333333,66.66666666666666,33.33333333333333,66.66666666666666,66.66666666666666,66.66666666666666,33.33333333333333,66.66666666666666,66.66666666666666,0.0,66.66666666666666,100.0,0.0,66.66666666666666,100.0
1,27.27272727272727,45.454545454545446,0.0,54.54545454545454,45.454545454545446,0.0,63.63636363636363,63.63636363636363,0.0,54.54545454545454,63.63636363636363,9.09090909090909,63.63636363636363,63.63636363636363,0.0
2,66.66666666666666,66.66666666666666,33.33333333333333,66.66666666666666,33.33333333333333,100.0,33.33333333333333,33.33333333333333,0.0,66.66666666666666,66.66666666666666,33.33333333333333,66.66666666666666,66.66666666666666,0.0
3,100.0,100.0,20.0,100.0,100.0,13.33333333333333,100.0,100.0,13.33333333333333,93.33333333333333,100.0,13.33333333333333,93.33333333333333,100.0,6.66666666666666
4,100.0,87.5,75.0,87.5,87.5,100.0,100.0,100.0,100.0,100.0,100.0,87.5,100.0,100.0,87.5
5,0.0,0.0,100.0,66.66666666666666,100.0,66.66666666666666,66.66666666666666,66.66666666666666,0.0,66.66666666666666,66.66666666666666,0.0,66.66666666666666,66.66666666666666,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0
7,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
8,0.0,0.0,100.0,0.0,50.0,100.0,0.0,50.0,100.0,0.0,50.0,100.0,50.0,50.0,0.0
9,0.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0
