cluster1,2_1_F,2_1_S,2_1_R,2_2_F,2_2_S,2_2_R,2_3_F,2_3_S,2_3_R,2_4_F,2_4_S,2_4_R,2_5_F,2_5_S,2_5_R
0,1.0,0.85,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.9,0.0
1,0.875,0.75,0.0,1.0,1.0,0.0,0.875,0.25,0.25,0.875,0.875,0.0,1.0,1.0,0.0
2,0.8,0.8,0.0,1.0,0.2,0.2,0.8,0.8,0.0,0.8,0.8,0.0,1.0,1.0,0.0
3,0.25,1.0,0.25,1.0,1.0,0.0,1.0,1.0,0.0,0.75,0.75,0.0,1.0,0.75,0.0
4,0.75,0.25,0.0,0.75,0.5,0.0,0.75,0.5,0.0,1.0,0.0,0.0,0.5,0.5,0.0
5,0.5,0.5,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.5,1.0,0.5,1.0,1.0,0.0
6,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
7,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
8,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
9,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
10,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
