cluster1,2_1_F,2_1_S,2_1_R,2_2_F,2_2_S,2_2_R,2_3_F,2_3_S,2_3_R,2_4_F,2_4_S,2_4_R,2_5_F,2_5_S,2_5_R
0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,1.0,0.0,0.6666666666666666,1.0
1,0.2727272727272727,0.45454545454545453,0.0,0.5454545454545454,0.45454545454545453,0.0,0.6363636363636364,0.6363636363636364,0.0,0.5454545454545454,0.6363636363636364,0.09090909090909091,0.6363636363636364,0.6363636363636364,0.0
2,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0
3,1.0,1.0,0.2,1.0,1.0,0.13333333333333333,1.0,1.0,0.13333333333333333,0.9333333333333333,1.0,0.13333333333333333,0.9333333333333333,1.0,0.06666666666666667
4,1.0,0.875,0.75,0.875,0.875,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,1.0,0.875
5,0.0,0.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
7,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,0.0,0.0,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.5,0.5,0.0
9,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
