InputID,1_1,1_2,1_3,1_4,1_5,2_1,2_2,2_3,2_4,2_5,3_1,3_2,3_3,3_4,3_5,All
31210101,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31410011,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31410196,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31510058,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31510062,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31510074,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31510156,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31510207,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,10
31610007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31610016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31610025,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31610044,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31610052,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31610079,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,10
31610097,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31610121,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31610135,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
3161014,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31710002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31710035,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31710046,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31710061,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31710071,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31710074,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31710086,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31710096,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31710105,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31710111,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,10
31710112,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31710129,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31710135,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31710148,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31710150,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31710156,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31710165,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31710167,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
S31610012,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
s31610023,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
s31710042,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
s31710125,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
s31710137,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
ばんごう,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,10
All,41,41,41,41,41,42,42,42,42,42,39,39,39,39,39,610
