,InputID,1_1,1_2,1_3,1_4,1_5,2_1,2_2,2_3,2_4,2_5,3_1,3_2,3_3,3_4,3_5
1,31410011,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,31410066,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,31410170,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,31410196,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,314110123,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,31510058,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,31510074,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,31510087,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,31510147,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,31510156,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,31610001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,31610007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,31610012,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,31610016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,31610025,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,31610028,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,31610037,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,31610075,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,31610097,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,31610121,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,31610135,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,31610158,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,31710046,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28,31710061,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29,31710071,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,31710074,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31,31710106,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33,31710148,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34,31710150,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35,31710156,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
36,72,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37,s31610023,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
38,s31710125,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39,s3171037,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
