InputID,1_1,1_2,1_3,1_4,1_5,2_1,2_2,2_3,2_4,2_5,3_1,3_2,3_3,3_4,3_5,All
31210101,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31410011,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31410123,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31410170,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31410196,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31510058,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31510062,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31510074,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31510156,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31510173,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31510207,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31610016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31610021,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,10
31610025,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31610028,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31610035,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31610043,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,10
31610044,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,7
31610052,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31610075,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31610112,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,10
31610121,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31610124,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
3161013,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31610158,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
3161097,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31710002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31710016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31710023,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31710042,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31710046,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31710061,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31710071,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31710074,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31710086,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31710092,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,6
31710096,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31710106,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31710117,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31710135,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31710143,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31710145,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31710148,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31710150,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31710156,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31710165,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31710167,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
72,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
s31610012,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
s31710105,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
s31710111,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
s31710125,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
s31710137,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
All,52,52,52,52,52,52,51,51,52,52,49,49,49,49,49,763
