,InputID,day,1_F,1_S,1_R,2_F,2_S,2_R,3_F,3_S,3_R
0,31710071,2,5,5,1,5,5,5,4,0,4
1,31710061,2,4,4,1,5,4,1,0,2,0
2,31610012,2,5,5,0,5,5,0,0,0,5
3,31610158,2,4,4,3,5,5,5,0,3,4
4,31610028,2,5,5,5,5,5,5,0,5,5
5,31610037,2,4,5,1,5,5,2,5,0,4
6,31610016,2,5,5,2,5,5,3,0,3,4
7,31410196,2,5,5,1,5,5,4,3,0,3
8,31410011,2,4,5,5,5,4,4,0,5,5
9,31610007,2,5,5,0,4,5,0,4,0,3
10,31410066,2,4,5,0,4,4,0,0,4,1
11,31410170,2,5,5,5,5,5,5,5,0,5
12,31510087,2,4,5,3,5,5,5,5,0,5
13,31510074,2,5,5,3,5,5,5,4,0,4
14,72,2,5,5,3,4,5,5,0,3,5
15,31710150,2,5,5,4,5,5,5,5,0,5
16,31710148,2,4,4,0,4,4,4,5,0,5
17,31510058,2,4,4,0,5,5,1,3,0,4
18,31710046,2,5,5,0,0,0,5,4,0,5
19,31610075,2,5,5,4,5,5,5,0,0,4
20,31610135,2,5,5,2,5,5,1,4,0,4
21,31610001,2,5,5,0,5,5,4,5,0,5
22,31510156,2,5,5,0,5,5,5,5,0,4
23,31610025,2,5,5,4,5,5,5,4,0,5
24,s31610023,2,4,5,5,5,5,5,0,4,5
25,31710106,2,5,5,0,3,4,2,3,0,4
26,s31710125,2,5,5,0,5,5,4,0,1,4
27,31610097,2,5,5,0,5,5,0,0,4,3
28,314110123,2,4,4,0,5,5,1,5,0,5
29,31510147,2,5,5,4,5,5,5,4,0,4
30,s3171037,2,2,5,0,3,4,3,2,0,4
31,31710156,2,4,4,0,2,2,2,5,0,3
32,31610121,2,5,5,4,5,5,5,0,0,5
33,31710074,2,5,5,0,5,5,2,5,0,4
