"lv","asg","card","amount","sentence","type0","type2","formula_order","story","type"
3,1,5,7,"赤い花 を 7 本 あげました","r0","decrease","2","more",""
3,1,6,2,"白い花 が 2 本 さいています","e0","existence","1","more",""
3,2,1,8,"赤いふうせん が 8 こ あります","e1","existence","2","more","e1"
3,2,2,0,"きいろいふうせん が ? こ あります","e1","existence","3","more","e2"
3,2,3,5,"きいろいふうせん は 赤いふうせん より
 5 こ すくないです","r1","comp_more","1","more","r"
3,2,4,0,"赤いふうせん が ? こ あります","e0","existence","3","more",""
3,2,5,8,"赤いふうせん を 8 こ あげました","r0","decrease","2","more",""
3,2,6,5,"白いふうせん が 5 こ あります","e0","existence","1","more",""
3,3,1,7,"りんご が 7 こ あります","e1","existence","2","more","e1"
3,3,2,0,"みかん が ? こ あります","e1","existence","3","more","e2"
3,3,3,2,"みかん は りんご より
 2 こ すくないです","r1","comp_more","1","more","r"
3,3,4,0,"りんご が ? こ あります","e0","existence","3","more",""
3,3,5,7,"りんご を 7 こ あげました","r0","decrease","2","more",""
3,3,6,2,"バナナ が 2 こ あります","e0","existence","1","more",""
3,4,1,6,"アルミかん が 6 こ あります","e1","existence","2","more","e1"
3,4,2,0,"スチールかん が ? こ あります","e1","existence","3","more","e2"
3,4,3,2,"スチールかん は アルミかん より
 2 こ すくないです","r1","comp_more","1","more","r"
3,4,4,0,"アルミかん が ? こ あります","e0","existence","3","more",""
3,4,5,6,"アルミかん を 6 こ あげました","r0","decrease","2","more",""
3,4,6,2,"ビン が 2 こ あります","e0","existence","1","more",""
3,5,1,9,"ふうとう が 9 つ あります","e1","existence","2","more","e1"
3,5,2,0,"カード が ? つ あります","e1","existence","3","more","e2"
3,5,3,4,"カード は ふうとう より
 4 つ すくないです","r1","comp_more","1","more","r"
3,5,4,0,"ふうとう が ? つ あります","e0","existence","3","more",""
3,5,5,9,"ふうとう を 9 つ あげました","r0","decrease","2","more",""
3,5,6,4,"ペン が 4 つ あります","e0","existence","1","more",""
